pickup_borough,pickup_date,year,month,day,year_month,day_of_week,weekday_name,is_weekend,hour,trip_count,avg_trip_distance,total_trip_distance,avg_trip_duration_min,total_trip_duration_min,avg_fare_amount,total_fare_amount,avg_total_amount,total_revenue,avg_tip_amount,total_tip_amount,total_tolls_amount,total_airport_fee,avg_passenger_count,total_passenger_count,avg_speed_mph,credit_card_trip_count,cash_trip_count,credit_card_share,cash_share
Manhattan,2001-01-01,2001,1,1,2001-01,2,Mon,0,0,3,6.44,19.32,328.9222,986.7667,31.7,95.1,38.0333,114.1,2.3333,7.0,0.0,0.0,1.3333,4,1.1747,1,2,0.3333,0.6667
Queens,2001-01-01,2001,1,1,2001-01,2,Mon,0,0,2,18.155,36.31,899.0417,1798.0833,70.0,140.0,90.28,180.56,8.23,16.46,13.1,3.0,1.0,2,1.2116,1,1,0.5,0.5
Manhattan,2001-01-01,2001,1,1,2001-01,2,Mon,0,15,1,9.13,9.13,409.8167,409.8167,38.0,38.0,43.0,43.0,0.0,0.0,0.0,0.0,2.0,2,1.3367,1,0,1.0,0.0
Queens,2002-12-31,2002,12,31,2002-12,3,Tue,0,16,1,7.77,7.77,38.0,38.0,37.3,37.3,62.68,62.68,5.0,5.0,13.88,0.0,1.0,1,12.2684,1,0,1.0,0.0
Manhattan,2002-12-31,2002,12,31,2002-12,3,Tue,0,22,5,2.16,10.8,256.09,1280.45,12.94,64.7,19.464,97.32,2.124,10.62,0.0,0.0,1.0,5,0.5061,2,2,0.4,0.4
Queens,2002-12-31,2002,12,31,2002-12,3,Tue,0,22,2,7.51,15.02,512.3833,1024.7667,29.6,59.2,36.79,73.58,1.815,3.63,0.0,0.0,1.0,2,0.8794,1,1,0.5,0.5
Manhattan,2002-12-31,2002,12,31,2002-12,3,Tue,0,23,4,4.3025,17.21,563.6083,2254.4333,21.725,86.9,31.2925,125.17,2.9575,11.83,6.94,0.0,1.0,4,0.458,1,3,0.25,0.75
Queens,2002-12-31,2002,12,31,2002-12,3,Tue,0,23,8,15.5838,124.67,689.8188,5518.55,56.1875,449.5,72.2275,577.82,7.6362,61.09,26.98,11.25,1.0,8,1.3555,4,4,0.5,0.5
Unknown,2002-12-31,2002,12,31,2002-12,3,Tue,0,23,1,0.0,0.0,0.9667,0.9667,3.0,3.0,4.5,4.5,0.0,0.0,0.0,0.0,1.0,1,0.0,0,1,0.0,1.0
Manhattan,2003-01-01,2003,1,1,2003-01,4,Wed,0,0,3,8.0967,24.29,545.6722,1637.0167,40.9333,122.8,51.9033,155.71,1.6933,5.08,18.83,0.0,1.6667,5,0.8903,1,2,0.3333,0.6667
Queens,2003-01-01,2003,1,1,2003-01,4,Wed,0,0,3,18.3333,55.0,823.9,2471.7,87.2333,261.7,99.4567,298.37,7.3733,22.12,6.55,2.5,1.0,3,1.3351,1,2,0.3333,0.6667
Queens,2008-12-31,2008,12,31,2008-12,4,Wed,0,0,1,5.19,5.19,1381.7,1381.7,49.9,49.9,53.9,53.9,0.0,0.0,0.0,0.0,1.0,1,0.2254,0,1,0.0,1.0
Queens,2008-12-31,2008,12,31,2008-12,4,Wed,0,10,1,3.01,3.01,15.0,15.0,17.0,17.0,21.0,21.0,0.0,0.0,0.0,0.0,1.0,1,12.04,0,1,0.0,1.0
Queens,2008-12-31,2008,12,31,2008-12,4,Wed,0,13,1,19.37,19.37,73.1833,73.1833,70.0,70.0,96.66,96.66,16.11,16.11,6.55,0.0,1.0,1,15.8807,1,0,1.0,0.0
Queens,2008-12-31,2008,12,31,2008-12,4,Wed,0,14,1,8.41,8.41,35.0,35.0,41.5,41.5,62.93,62.93,10.49,10.49,6.94,0.0,1.0,1,14.4171,1,0,1.0,0.0
Manhattan,2008-12-31,2008,12,31,2008-12,4,Wed,0,15,1,11.77,11.77,73.0,73.0,68.8,68.8,98.69,98.69,16.45,16.45,6.94,0.0,1.0,1,9.674,1,0,1.0,0.0
Queens,2008-12-31,2008,12,31,2008-12,4,Wed,0,17,1,8.52,8.52,36.0,36.0,43.6,43.6,64.98,64.98,10.83,10.83,6.55,0.0,1.0,1,14.2,1,0,1.0,0.0
Manhattan,2008-12-31,2008,12,31,2008-12,4,Wed,0,20,1,6.46,6.46,22.0,22.0,28.9,28.9,40.68,40.68,6.78,6.78,0.0,0.0,1.0,1,17.6182,1,0,1.0,0.0
Manhattan,2008-12-31,2008,12,31,2008-12,4,Wed,0,22,1,1.62,1.62,11.3333,11.3333,11.4,11.4,19.9,19.9,2.0,2.0,0.0,0.0,1.0,1,8.5765,1,0,1.0,0.0
Manhattan,2008-12-31,2008,12,31,2008-12,4,Wed,0,23,12,5.9183,71.02,1005.7139,12068.5667,30.3,363.6,41.15,493.8,3.7717,45.26,27.94,0.0,1.0,12,0.3531,7,5,0.5833,0.4167
Queens,2008-12-31,2008,12,31,2008-12,4,Wed,0,23,13,12.7938,166.32,725.3244,9429.2167,50.5308,656.9,66.6669,866.67,6.4362,83.67,54.35,17.75,1.0,13,1.0583,7,6,0.5385,0.4615
Manhattan,2009-01-01,2009,1,1,2009-01,5,Thu,0,0,14,1.905,26.67,632.4155,8853.8167,14.0,196.0,21.625,302.75,2.6607,37.25,0.0,0.0,1.7857,25,0.1807,9,5,0.6429,0.3571
Queens,2009-01-01,2009,1,1,2009-01,5,Thu,0,0,6,13.5417,81.25,34.8778,209.2667,47.2667,283.6,60.0183,360.11,0.0,0.0,27.76,7.0,1.3333,8,23.2956,0,5,0.0,0.8333
Queens,2009-01-01,2009,1,1,2009-01,5,Thu,0,2,1,2.98,2.98,12.3333,12.3333,16.3,16.3,25.55,25.55,0.0,0.0,0.0,1.75,1.0,1,14.4973,0,1,0.0,1.0
Queens,2009-01-01,2009,1,1,2009-01,5,Thu,0,4,1,21.4,21.4,1163.1167,1163.1167,70.0,70.0,82.69,82.69,0.0,0.0,6.94,1.75,1.0,1,1.1039,0,1,0.0,1.0
Manhattan,2009-01-01,2009,1,1,2009-01,5,Thu,0,5,1,1.91,1.91,13.2333,13.2333,14.2,14.2,18.2,18.2,0.0,0.0,0.0,0.0,1.0,1,8.6599,0,1,0.0,1.0
Queens,2009-01-01,2009,1,1,2009-01,5,Thu,0,5,1,9.65,9.65,31.95,31.95,43.6,43.6,47.85,47.85,0.0,0.0,0.0,1.75,1.0,1,18.1221,0,1,0.0,1.0
Manhattan,2009-01-01,2009,1,1,2009-01,5,Thu,0,7,1,3.07,3.07,86.6167,86.6167,20.5,20.5,29.4,29.4,4.9,4.9,0.0,0.0,1.0,1,2.1266,1,0,1.0,0.0
Manhattan,2009-01-01,2009,1,1,2009-01,5,Thu,0,14,1,2.05,2.05,26.0,26.0,22.6,22.6,33.25,33.25,6.65,6.65,0.0,0.0,2.0,2,4.7308,1,0,1.0,0.0
Manhattan,2009-01-01,2009,1,1,2009-01,5,Thu,0,15,1,1.13,1.13,13.0833,13.0833,12.1,12.1,16.1,16.1,0.0,0.0,0.0,0.0,1.0,1,5.1822,0,1,0.0,1.0
Queens,2009-01-01,2009,1,1,2009-01,5,Thu,0,20,1,0.0,0.0,0.6667,0.6667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,0,1,0.0,1.0
Queens,2009-01-01,2009,1,1,2009-01,5,Thu,0,22,1,8.5,8.5,926.05,926.05,40.8,40.8,70.19,70.19,11.7,11.7,6.94,1.75,5.0,5,0.5507,1,0,1.0,0.0
Manhattan,2009-01-01,2009,1,1,2009-01,5,Thu,0,23,2,5.725,11.45,17.0,34.0,24.7,49.4,29.7,59.4,0.0,0.0,0.0,0.0,1.0,2,20.2059,0,2,0.0,1.0
Queens,2009-01-01,2009,1,1,2009-01,5,Thu,0,23,1,0.0,0.0,9.4167,9.4167,3.0,3.0,4.5,4.5,0.0,0.0,0.0,0.0,1.0,1,0.0,0,1,0.0,1.0
Manhattan,2014-11-19,2014,11,19,2014-11,4,Wed,0,8,1,6.43,6.43,427.4833,427.4833,33.1,33.1,52.38,52.38,8.73,8.73,6.55,0.0,2.0,2,0.9025,1,0,1.0,0.0
EWR,2022-10-24,2022,10,24,2022-10,2,Mon,0,17,1,0.0,0.0,0.0667,0.0667,120.0,120.0,120.3,120.3,0.0,0.0,0.0,0.0,1.0,1,0.0,0,1,0.0,1.0
