pickup_borough,hour,total_trips,total_revenue,total_fare_amount,total_trip_distance,total_trip_duration_min,total_passenger_count,credit_card_trip_count,cash_trip_count,active_days,active_pickup_zones,avg_revenue_per_trip,avg_fare_amount,avg_trip_distance,avg_trip_duration_min,avg_passenger_count,credit_card_share,cash_share
Bronx,0,3352,109514.62000000002,94433.06000000001,15205.900000000003,53880.9,1902,843,523,676,43,32.67142601431981,28.1721539379475,4.536366348448689,16.074254176610978,0.5674224343675418,0.251491646778043,0.15602625298329356
Bronx,1,2111,64458.490000000005,55644.44,7735.129999999999,27055.483333333334,1494,608,393,614,42,30.53457603031739,26.35927996210327,3.6642018000947414,12.816429812095373,0.7077214590241592,0.2880151586925628,0.1861676930364756
Bronx,2,1381,41922.45999999999,36407.229999999996,89396.78000000001,16041.51666666667,1055,422,286,528,42,30.35659666908037,26.3629471397538,64.73336712527156,11.615870142408886,0.7639391745112237,0.3055756698044895,0.20709630702389573
Bronx,3,1577,51483.630000000005,44907.55,7730.55,26187.18333333333,1071,533,266,580,39,32.6465630944832,28.476569435637288,4.902060875079265,16.605696470090887,0.6791376030437539,0.3379835129993659,0.1686746987951807
Bronx,4,4438,167744.5,150734.86,31444.89,114947.1833333333,3259,2763,217,704,42,37.79731861198738,33.96459215863001,7.0853740423614235,25.900672224725845,0.7343397926994142,0.6225777377196936,0.04889589905362776
Bronx,5,8030,329667.8199999996,296646.3000000001,139126.68000000008,267640.55000000005,6368,5914,234,722,41,41.05452303860518,36.94225404732256,17.32586301369864,33.33008094645081,0.7930261519302615,0.7364881693648817,0.029140722291407222
Bronx,6,13734,529221.5900000003,480560.32999999984,224805.93999999997,528615.9333333331,9945,9400,357,728,42,38.533682102810566,34.99055846803552,16.36856997233144,38.48958302994998,0.7241153342070773,0.6844327945245376,0.02599388379204893
Bronx,7,16171,576188.1100000003,523471.62999999954,1287948.0100000002,609800.3666666666,9993,9034,623,730,43,35.63095108527613,32.37101168758887,79.6455389277101,37.70950260754849,0.6179580730938099,0.5586543812998578,0.03852575598293241
Bronx,8,15810,558091.0400000007,506392.09,439663.0399999996,602202.6333333333,11794,10599,756,730,43,35.299876027830535,32.029860215053766,27.809173940543932,38.08998313303816,0.7459835547122075,0.6703984819734345,0.047817836812144215
Bronx,9,14157,501485.14000000013,455931.74000000005,223529.81999999986,544553.4000000001,12519,11341,736,730,43,35.423122130394866,32.205392385392386,15.789349438440338,38.46531044712864,0.8842975206611571,0.8010878010878011,0.05198841562477926
Bronx,10,12548,449941.60999999987,407822.62000000005,181514.26999999996,468412.0999999998,11614,10104,877,729,43,35.85763547975772,32.50100573796622,14.465593720114756,37.32962225055784,0.9255658272234619,0.8052279247688875,0.06989161619381574
Bronx,11,12335,440410.6799999996,398527.9800000001,218409.25999999995,471026.03333333344,11519,9768,994,730,42,35.704149169031176,32.30871341710581,17.706466153222532,38.18613971084989,0.9338467774625051,0.7918929874341305,0.0805837049047426
Bronx,12,11773,422306.1999999997,381358.5900000001,116875.66000000005,441784.76666666684,10680,8982,952,729,43,35.870738129618594,32.39264333644781,9.927432260256523,37.5252498655115,0.9071604518814236,0.7629321328463433,0.0808629915909284
Bronx,13,10755,385940.72999999963,347571.3800000002,96469.12,406227.96666666673,9344,7530,985,729,43,35.88477266387723,32.31719014411903,8.969699674569966,37.77108011777469,0.8688052068805207,0.700139470013947,0.09158530915853091
Bronx,14,10071,354996.05999999976,318282.6000000002,305876.3199999999,382993.94999999984,8302,6220,1149,730,43,35.24933571641344,31.60387250521301,30.371990864859487,38.02938635686623,0.8243471353390924,0.6176149339688214,0.11408996127494787
