PULocationID,pickup_zone,pickup_borough,total_trips,total_revenue,total_fare_amount,total_trip_distance,total_trip_duration_min,total_passenger_count,credit_card_trip_count,cash_trip_count,active_days,active_pickup_zones,avg_revenue_per_trip,avg_fare_amount,avg_trip_distance,avg_trip_duration_min,avg_passenger_count,credit_card_share,cash_share
132,JFK Airport,Queens,3860868,3.144762515399999E8,2.4541486646999985E8,6.111399338999996E7,1.6737795775E8,5707928,2802563,931823,738,1,81.45221528941158,63.56468712994069,15.829081281722132,43.35241654208328,1.4784053741283048,0.7258893595947854,0.24135064964665975
237,Upper East Side South,Manhattan,3665535,7.644516767000002E7,4.895648745E7,7455025.04,4.692420505E7,4594241,2959274,540710,734,1,20.85511873982925,13.355891418305923,2.033816356957443,12.801461464697512,1.2533616511641548,0.8073238967845076,0.14751189117004748
161,Midtown Center,Manhattan,3631632,9.207690905E7,6.107649515E7,1.0023673910000004E7,5.908958518333337E7,4728622,2887330,550942,734,1,25.354140796754738,16.817919643289848,2.760101769672699,16.270807500135852,1.3020652973649312,0.795050269410557,0.1517064504333038
236,Upper East Side North,Manhattan,3294568,7.002362801000002E7,4.531769003E7,8458396.660000004,4.2585716800000004E7,4075668,2657423,436953,733,1,21.254267026815054,13.755275359318734,2.56737656044738,12.926039711428025,1.23708722964589,0.8066074216710658,0.13262831424332416
162,Midtown East,Manhattan,2738873,6.740910680999997E7,4.445801169E7,7465619.910000004,4.2413466349999994E7,3445422,2232159,388497,734,1,24.611987050878216,16.232228252277487,2.72579995859611,15.485736779324924,1.2579707054690012,0.8149917867677691,0.14184556932723788
186,Penn Station/Madison Sq West,Manhattan,2631069,6.717307307000001E7,4.582446590999999E7,6576311.239999998,4.668050461666666E7,3386519,2103609,429408,732,1,25.53071510857374,17.416672048509557,2.4994826209422856,17.742029804868917,1.287126639400183,0.7995263522165326,0.16320666618777388
230,Times Sq/Theatre District,Manhattan,2613490,7.605861003000003E7,5.196771905000002E7,9030792.850000003,4.727885789999997E7,3711859,1948505,511057,733,1,29.10231530635282,19.88441472896396,3.4554533784326718,18.090315210695266,1.4202690655024508,0.7455567076973701,0.19554580273886643
138,LaGuardia Airport,Queens,2566040,1.7370163551E8,1.1239991487999998E8,2.5063670860000003E7,8.110837861666666E7,3421638,2183705,333229,737,1,67.69248940390641,43.80286935511527,9.767451349160575,31.608384365273597,1.3334312793253418,0.8510019329394709,0.12986118688718803
142,Lincoln Square East,Manhattan,2541288,5.6943001489999995E7,3.718989633000002E7,7170917.059999996,3.502070071666666E7,3265452,2024102,364750,733,1,22.407142161769936,14.634270625761433,2.8217648137479876,13.780689444355248,1.284959437891337,0.7964866634556965,0.14352958027582863
170,Murray Hill,Manhattan,2278261,5.568198888999997E7,3.7002761129999965E7,6385591.9799999995,3.4848481E7,2828665,1809526,322901,734,1,24.440566243288178,16.24166903177466,2.80283601395977,15.296088112819383,1.2415895281532714,0.7942575499470869,0.14173134684744199
163,Midtown North,Manhattan,2248679,5.688004334999999E7,3.791417166999998E7,6110021.9399999995,3.5803113316666655E7,2944827,1770536,359296,734,1,25.294870165995228,16.86064203472349,2.7171605818349347,15.921842698164859,1.3095808694793698,0.7873671608975759,0.1597809202647421
239,Upper West Side South,Manhattan,2178764,4.8827369779999994E7,3.2005866590000007E7,7466617.1400000015,2.919777388333333E7,2734100,1713199,287172,733,1,22.410582229190492,14.689918958638938,3.426996746779367,13.401072297565651,1.2548857976357237,0.7863169209698709,0.13180500503955453
234,Union Sq,Manhattan,2109484,4.844166312E7,3.1743995649999995E7,5473341.2,3.1457173383333337E7,2623149,1702551,254660,733,1,22.963749959705783,15.048227741950162,2.5946350861158463,14.912259767475524,1.2435026764839174,0.8070935830752923,0.12072146553375138
68,East Chelsea,Manhattan,2086184,5.4426383260000005E7,3.7098402470000006E7,6125012.67,3.716300221666666E7,2714774,1638948,296860,733,1,26.08896591096471,17.78290048720535,2.9359887095289774,17.81386599488188,1.3013109102552796,0.7856200603590096,0.14229809067656543
48,Clinton East,Manhattan,2027536,4.970294285000001E7,3.3456531850000024E7,6551774.32,3.0440921633333318E7,2661834,1526302,356009,735,1,24.51396317993861,16.501079068386467,3.231397282218417,15.013751486204594,1.3128417941777606,0.7527866336282069,0.1755870179370428
79,East Village,Manhattan,1832690,4.285333354000002E7,2.874472701E7,6287573.340000004,2.681476261666668E7,2268408,1419256,204574,734,1,23.38275078709439,15.684445820078682,3.4307893533549065,14.631368434741653,1.2377477914977437,0.7744113843585113,0.11162498840502212
