day_of_week,weekday_name,hour,total_trips,total_revenue,total_fare_amount,total_trip_distance,total_trip_duration_min,total_passenger_count,credit_card_trip_count,cash_trip_count,active_days,active_pickup_zones,avg_revenue_per_trip,avg_fare_amount,avg_trip_distance,avg_trip_duration_min,avg_passenger_count,credit_card_share,cash_share
1,Sun,0,593459,1.568450039E7,1.0942314709999995E7,2194887.81,9226849.366666667,742855,442514,57549,105,254,26.42895362611402,18.438198274859754,3.6984657912341037,15.547576777278072,1.2517376937581197,0.7456521849024111,0.09697215814403354
1,Sun,1,489377,1.2006429549999995E7,8254268.339999997,1610958.5500000003,7316070.8166666655,612530,370990,43346,105,248,24.534110818448752,16.866890638505687,3.2918558698099836,14.949764326207944,1.2516526113814095,0.7580863015630077,0.08857383980039929
1,Sun,2,347151,8340929.929999998,5708443.1800000025,1356331.26,4702083.450000001,437829,265395,31294,103,244,24.02680657696506,16.44368928794675,3.9070354399094342,13.544778640994844,1.2612062186195632,0.7644944130940139,0.09014521058559531
1,Sun,3,237989,5921241.75,4097591.299999999,879922.7900000003,3235165.6999999993,296813,176238,24797,106,237,24.88031694742194,17.217565937921496,3.6973254646223155,13.593761476370753,1.2471710877393494,0.7405300244969305,0.10419389131430444
1,Sun,4,138212,3989159.9200000027,2875033.33,900545.5100000001,1960579.7000000002,158316,88180,19262,105,244,28.86261627065669,20.801618745116198,6.515682502242932,14.185307353920066,1.1454577026596822,0.6380053830347582,0.13936561224785113
1,Sun,5,62426,2526945.9800000004,1875999.2899999998,445077.88000000006,1028823.5,69527,36857,12390,105,243,40.479062890462316,30.05156969852305,7.129687630154104,16.48068913593695,1.1137506808060744,0.5904110466792682,0.19847499439336175
1,Sun,6,90952,3540459.7300000014,2662634.6399999997,1328472.0399999993,1411430.1333333333,101043,54893,19293,105,245,38.92668363532414,29.275163162987067,14.606298267217866,15.518406778667135,1.1109486322455802,0.6035381300026388,0.21212287800158325
1,Sun,7,132402,4639275.939999999,3414395.16,1306720.6699999997,1914025.4499999995,158788,88920,27916,105,243,35.03931919457409,25.788093533330315,9.86934238153502,14.456167202912338,1.1992870198335372,0.6715910635791,0.21084273651455415
1,Sun,8,199773,6076750.12,4366545.540000002,1769474.4200000006,2705493.1833333336,252119,143153,39371,105,245,30.418275342513752,21.857536003363826,8.857425277690181,13.542837036703327,1.2620274011002488,0.7165783163891016,0.1970786843066881
1,Sun,9,317161,8641955.92999999,6096044.820000001,1856241.1400000004,4197794.100000001,410454,229594,60072,105,248,27.247851816585236,19.220663385472996,5.852677788252655,13.235530534964893,1.29415028960055,0.7239036325399403,0.18940538086334702
1,Sun,10,436520,1.1536361189999988E7,8061403.429999997,2250846.3599999994,6048828.2,571136,319809,78541,105,244,26.428024351690617,18.467432030605693,5.156341885824245,13.85693255750023,1.308384495555759,0.7326330981398332,0.17992531842756346
1,Sun,11,515801,1.3617505079999983E7,9513908.889999995,2562838.3300000015,7578332.483333335,679921,381410,88318,106,249,26.400695384460253,18.44492137471621,4.968657156539056,14.692357097666223,1.3181847262800963,0.7394518428618789,0.17122494915674843
1,Sun,12,588669,1.6289895819999985E7,1.1471868559999995E7,2728678.670000001,9559314.383333331,776549,436621,97281,105,246,27.672420018720175,19.48780819102075,4.635336105689277,16.238861539053918,1.3191606828285505,0.7417088380736883,0.16525585685673952
1,Sun,13,612797,1.7929142399999984E7,1.2735207529999997E7,2967559.230000001,1.088357171666667E7,815888,455851,101361,105,248,29.257882137151427,20.78209836210033,4.842646471833251,17.760484657507575,1.3314164397018915,0.7438858218953421,0.1654071413534988
1,Sun,14,632284,1.942373336999998E7,1.3865424579999993E7,3883636.3499999996,1.2026513583333334E7,849679,472410,105030,105,250,30.71995079742644,21.929108723295215,6.142234106825414,19.020746347105625,1.343824926773412,0.7471484332989606,0.16611206356637206
1,Sun,15,612775,1.9217613829999987E7,1.3772996159999998E7,3223786.9499999993,1.2019685166666672E7,830116,463129,101848,105,252,31.36161532373218,22.476432883195297,5.260963567377911,19.615168971754187,1.3546832034596712,0.7557896454653013,0.16620782505813717
1,Sun,16,623696,1.9625655099999994E7,1.404924862E7,3060158.819999999,1.22895003E7,845342,475002,100580,105,248,31.466700283471425,22.525795611964803,4.906491014853389,19.704311555629666,1.3553750545137375,0.7615921859367384,0.16126446217387957
1,Sun,17,623920,1.887887369999999E7,1.3505217559999997E7,2653220.64,1.176530756666667E7,837691,472973,98125,105,251,30.258484581356573,21.64575195537889,4.2525013463264525,18.857077135957606,1.3426256571355302,0.7580667393255546,0.15727176561097578
1,Sun,18,600565,1.759174881999999E7,1.2500718159999993E7,2611313.95,1.062329345E7,802480,457740,91846,105,250,29.29199806848549,20.81492954134855,4.348095460108398,17.688832099772714,1.3362084037531325,0.7621822783545494,0.15293265508313006
1,Sun,19,523042,1.5640129039999992E7,1.1102307279999997E7,2349164.1700000004,8923263.666666666,702899,403063,79654,105,248,29.902243108584,21.226416387211728,4.491349012125222,17.060319566433797,1.3438672228998818,0.770613067401853,0.1522898734709641
1,Sun,20,479420,1.4995981379999995E7,1.0305722689999996E7,2439154.310000001,7955393.316666667,644494,373592,70149,106,251,31.279423845479943,21.49623021567727,5.087719139793919,16.593786902229084,1.3443202202661548,0.7792582704100789,0.14632055400275332
1,Sun,21,449062,1.4360937209999992E7,9885401.649999999,2221938.41,7288668.35,600480,351279,64207,105,249,31.97985402906501,22.013445025408515,4.9479546476878475,16.23087313110439,1.3371872926232904,0.7822505578294311,0.14298025662380695
1,Sun,22,371359,1.2956087759999994E7,9185701.919999994,2012820.0699999998,6105537.366666667,483666,283526,54169,105,252,34.88830958721882,24.735369063359162,5.420146192767645,16.44106475584722,1.3024216459005975,0.7634822368651359,0.14586693738404077
1,Sun,23,275544,1.034343861E7,7360189.499999998,1725605.8100000005,4542535.116666667,349582,206229,42298,105,251,37.53824655953314,26.711485280027865,6.262541771913018,16.4856978074887,1.2686975582847022,0.7484430798710914,0.15350724385216155
2,Mon,0,167167,6238339.289999999,4488323.119999999,1058228.5399999998,2724934.016666667,210428,121589,27908,106,251,37.318007082737616,26.849337010295088,6.3303674768345415,16.30066949019045,1.2587891150765402,0.7273504938175597,0.16694682562946037
2,Mon,1,87130,3080171.2899999986,2254473.48,853469.0100000001,1363858.9833333334,110603,61237,16511,105,238,35.351443704808894,25.874824744634456,9.795351887983474,15.653150273537626,1.269402042924366,0.7028233673820727,0.18949845059107082
2,Mon,2,49144,1575724.63,1148244.4000000001,311917.3199999999,728932.8833333334,62886,33607,10167,105,227,32.06341832166694,23.364895002441806,6.347007162624123,14.832591635465844,1.279627217971675,0.6838474686635194,0.20688181670193717
2,Mon,3,35813,1207917.86,885623.2700000001,217144.07999999996,551627.5499999999,44139,22845,7372,105,223,33.72847457627119,24.72910032669701,6.063275346941054,15.4029975148689,1.2324854103258593,0.637896853098037,0.20584703878479882
2,Mon,4,42129,1664657.010000001,1235076.8500000003,718107.89,703757.4666666663,44054,23445,7553,105,231,39.513328348643476,29.316547983574267,17.045453013363716,16.70482248965478,1.0456929905765624,0.5565050202948087,0.17928267938949416
