pickup_ts,dropoff_ts,pickup_date,year,month,day,hour,day_of_week,weekday_name,is_weekend,year_month,PULocationID,pickup_zone,pickup_borough,pickup_service_zone,DOLocationID,dropoff_zone,dropoff_borough,dropoff_service_zone,route_key,route_name,trip_duration_min,trip_distance,fare_amount,total_amount,tip_amount,tolls_amount,airport_fee,passenger_count,payment_type,payment_type_desc,RatecodeID,ratecode_desc,VendorID,vendor_name,store_and_fwd_flag,store_and_fwd_desc,tpep_pickup_datetime,tpep_dropoff_datetime,extra,mta_tax,improvement_surcharge,congestion_surcharge
2001-01-01 00:06:49,2001-01-01 15:42:11,2001-01-01,2001,1,1,0,2,Mon,0,2001-01,161,Midtown Center,Manhattan,Yellow Zone,231,TriBeCa/Civic Center,Manhattan,Yellow Zone,161->231,Midtown Center -> TriBeCa/Civic Center,935.3667,7.41,35.9,46.9,7.0,0.0,0.0,2,1,Credit card,1.0,Standard rate,2,"Curb Mobility, LLC",N,Not a store and forward trip,2001-01-01 00:06:49,2001-01-01 15:42:11,0.0,0.5,1.0,2.5
2001-01-01 00:07:36,2001-01-01 00:16:31,2001-01-01,2001,1,1,0,2,Mon,0,2001-01,239,Upper West Side South,Manhattan,Yellow Zone,43,Central Park,Manhattan,Yellow Zone,239->43,Upper West Side South -> Central Park,8.9167,1.68,10.7,14.7,0.0,0.0,0.0,1,2,Cash,1.0,Standard rate,2,"Curb Mobility, LLC",N,Not a store and forward trip,2001-01-01 00:07:36,2001-01-01 00:16:31,0.0,0.5,1.0,2.5
2001-01-01 00:08:31,2001-01-01 16:01:27,2001-01-01,2001,1,1,0,2,Mon,0,2001-01,132,JFK Airport,Queens,Airports,264,N/A,Unknown,N/A,132->264,JFK Airport -> N/A,952.9333,18.63,70.0,98.76,16.46,6.55,1.75,1,1,Credit card,2.0,JFK,2,"Curb Mobility, LLC",N,Not a store and forward trip,2001-01-01 00:08:31,2001-01-01 16:01:27,0.0,0.5,1.0,2.5
2001-01-01 00:08:42,2001-01-01 14:13:51,2001-01-01,2001,1,1,0,2,Mon,0,2001-01,132,JFK Airport,Queens,Airports,68,East Chelsea,Manhattan,Yellow Zone,132->68,JFK Airport -> East Chelsea,845.15,17.68,70.0,81.8,0.0,6.55,1.25,1,2,Cash,2.0,JFK,2,"Curb Mobility, LLC",N,Not a store and forward trip,2001-01-01 00:08:42,2001-01-01 14:13:51,0.0,0.5,1.0,2.5
2001-01-01 00:28:40,2001-01-01 01:11:09,2001-01-01,2001,1,1,0,2,Mon,0,2001-01,239,Upper West Side South,Manhattan,Yellow Zone,97,Fort Greene,Brooklyn,Boro Zone,239->97,Upper West Side South -> Fort Greene,42.4833,10.23,48.5,52.5,0.0,0.0,0.0,1,2,Cash,1.0,Standard rate,2,"Curb Mobility, LLC",N,Not a store and forward trip,2001-01-01 00:28:40,2001-01-01 01:11:09,0.0,0.5,1.0,2.5
2001-01-01 15:18:51,2001-01-01 22:08:40,2001-01-01,2001,1,1,15,2,Mon,0,2001-01,246,West Chelsea/Hudson Yards,Manhattan,Yellow Zone,243,Washington Heights North,Manhattan,Boro Zone,246->243,West Chelsea/Hudson Yards -> Washington Heights North,409.8167,9.13,38.0,43.0,0.0,0.0,0.0,2,1,Credit card,1.0,Standard rate,2,"Curb Mobility, LLC",N,Not a store and forward trip,2001-01-01 15:18:51,2001-01-01 22:08:40,1.0,0.5,1.0,2.5
2002-12-31 16:46:07,2002-12-31 17:24:07,2002-12-31,2002,12,31,16,3,Tue,0,2002-12,138,LaGuardia Airport,Queens,Airports,263,Yorkville West,Manhattan,Yellow Zone,138->263,LaGuardia Airport -> Yorkville West,38.0,7.77,37.3,62.68,5.0,13.88,0.0,1,1,Credit card,1.0,Standard rate,2,"Curb Mobility, LLC",N,Not a store and forward trip,2002-12-31 16:46:07,2002-12-31 17:24:07,2.5,0.5,1.0,2.5
2002-12-31 22:10:04,2002-12-31 22:14:22,2002-12-31,2002,12,31,22,3,Tue,0,2002-12,170,Murray Hill,Manhattan,Yellow Zone,231,TriBeCa/Civic Center,Manhattan,Yellow Zone,170->231,Murray Hill -> TriBeCa/Civic Center,4.3,7.55,33.1,45.72,7.62,0.0,0.0,1,1,Credit card,1.0,Standard rate,2,"Curb Mobility, LLC",N,Not a store and forward trip,2002-12-31 22:10:04,2002-12-31 22:14:22,1.0,0.5,1.0,2.5
2002-12-31 22:16:54,2003-01-01 15:02:08,2002-12-31,2002,12,31,22,3,Tue,0,2002-12,132,JFK Airport,Queens,Airports,10,Baisley Park,Queens,Boro Zone,132->10,JFK Airport -> Baisley Park,1005.2333,3.25,14.9,21.78,3.63,0.0,0.0,1,1,Credit card,1.0,Standard rate,2,"Curb Mobility, LLC",N,Not a store and forward trip,2002-12-31 22:16:54,2003-01-01 15:02:08,1.75,0.5,1.0,0.0
2002-12-31 22:17:10,2002-12-31 22:42:24,2002-12-31,2002,12,31,22,3,Tue,0,2002-12,50,Clinton West,Manhattan,Yellow Zone,162,Midtown East,Manhattan,Yellow Zone,50->162,Clinton West -> Midtown East,25.2333,1.4,10.0,18.0,3.0,0.0,0.0,1,1,Credit card,1.0,Standard rate,2,"Curb Mobility, LLC",N,Not a store and forward trip,2002-12-31 22:17:10,2002-12-31 22:42:24,1.0,0.5,1.0,2.5
