PULocationID,pickup_zone,pickup_borough,pickup_service_zone,pickup_date,year,month,day,year_month,day_of_week,weekday_name,is_weekend,hour,trip_count,avg_trip_distance,total_trip_distance,avg_trip_duration_min,total_trip_duration_min,avg_fare_amount,total_fare_amount,avg_total_amount,total_revenue,avg_tip_amount,total_tip_amount,total_tolls_amount,total_airport_fee,avg_passenger_count,total_passenger_count,avg_speed_mph,credit_card_trip_count,cash_trip_count,credit_card_share,cash_share
161,Midtown Center,Manhattan,Yellow Zone,2001-01-01,2001,1,1,2001-01,2,Mon,0,0,1,7.41,7.41,935.3667,935.3667,35.9,35.9,46.9,46.9,7.0,7.0,0.0,0.0,2.0,2,0.4753,1,0,1.0,0.0
239,Upper West Side South,Manhattan,Yellow Zone,2001-01-01,2001,1,1,2001-01,2,Mon,0,0,2,5.955,11.91,25.7,51.4,29.6,59.2,33.6,67.2,0.0,0.0,0.0,0.0,1.0,2,12.8763,0,2,0.0,1.0
132,JFK Airport,Queens,Airports,2001-01-01,2001,1,1,2001-01,2,Mon,0,0,2,18.155,36.31,899.0417,1798.0833,70.0,140.0,90.28,180.56,8.23,16.46,13.1,3.0,1.0,2,1.2141,1,1,0.5,0.5
246,West Chelsea/Hudson Yards,Manhattan,Yellow Zone,2001-01-01,2001,1,1,2001-01,2,Mon,0,15,1,9.13,9.13,409.8167,409.8167,38.0,38.0,43.0,43.0,0.0,0.0,0.0,0.0,2.0,2,1.3367,1,0,1.0,0.0
138,LaGuardia Airport,Queens,Airports,2002-12-31,2002,12,31,2002-12,3,Tue,0,16,1,7.77,7.77,38.0,38.0,37.3,37.3,62.68,62.68,5.0,5.0,13.88,0.0,1.0,1,12.2684,1,0,1.0,0.0
50,Clinton West,Manhattan,Yellow Zone,2002-12-31,2002,12,31,2002-12,3,Tue,0,22,1,1.4,1.4,25.2333,25.2333,10.0,10.0,18.0,18.0,3.0,3.0,0.0,0.0,1.0,1,3.3289,1,0,1.0,0.0
170,Murray Hill,Manhattan,Yellow Zone,2002-12-31,2002,12,31,2002-12,3,Tue,0,22,2,4.09,8.18,5.1667,10.3333,19.8,39.6,28.11,56.22,3.81,7.62,0.0,0.0,1.0,2,55.807,1,0,0.5,0.0
237,Upper East Side South,Manhattan,Yellow Zone,2002-12-31,2002,12,31,2002-12,3,Tue,0,22,1,0.67,0.67,6.2,6.2,7.9,7.9,11.9,11.9,0.0,0.0,0.0,0.0,1.0,1,6.4839,0,1,0.0,1.0
246,West Chelsea/Hudson Yards,Manhattan,Yellow Zone,2002-12-31,2002,12,31,2002-12,3,Tue,0,22,1,0.55,0.55,1238.6833,1238.6833,7.2,7.2,11.2,11.2,0.0,0.0,0.0,0.0,1.0,1,0.0266,0,1,0.0,1.0
132,JFK Airport,Queens,Airports,2002-12-31,2002,12,31,2002-12,3,Tue,0,22,2,7.51,15.02,512.3833,1024.7667,29.6,59.2,36.79,73.58,1.815,3.63,0.0,0.0,1.0,2,18.1738,1,1,0.5,0.5
141,Lenox Hill West,Manhattan,Yellow Zone,2002-12-31,2002,12,31,2002-12,3,Tue,0,23,1,3.03,3.03,14.75,14.75,17.0,17.0,21.0,21.0,0.0,0.0,0.0,0.0,1.0,1,12.3254,0,1,0.0,1.0
162,Midtown East,Manhattan,Yellow Zone,2002-12-31,2002,12,31,2002-12,3,Tue,0,23,1,11.08,11.08,962.6167,962.6167,45.7,45.7,70.97,70.97,11.83,11.83,6.94,0.0,1.0,1,0.6906,1,0,1.0,0.0
234,Union Sq,Manhattan,Yellow Zone,2002-12-31,2002,12,31,2002-12,3,Tue,0,23,1,2.12,2.12,1272.8667,1272.8667,17.7,17.7,22.7,22.7,0.0,0.0,0.0,0.0,1.0,1,0.0999,0,1,0.0,1.0
237,Upper East Side South,Manhattan,Yellow Zone,2002-12-31,2002,12,31,2002-12,3,Tue,0,23,1,0.98,0.98,4.2,4.2,6.5,6.5,10.5,10.5,0.0,0.0,0.0,0.0,1.0,1,14.0,0,1,0.0,1.0
132,JFK Airport,Queens,Airports,2002-12-31,2002,12,31,2002-12,3,Tue,0,23,7,16.0657,112.46,601.4643,4210.25,57.2857,401.0,72.6457,508.52,7.0771,49.54,26.98,9.5,1.0,7,9.3102,3,4,0.4286,0.5714
